"imageUrl","title","totalScore","reviewsCount","instagrams/0","instagrams/1","instagrams/2","instagrams/3","facebooks/0","facebooks/1","facebooks/2","facebooks/3","facebooks/4","facebooks/5","linkedIns/0","linkedIns/1","linkedIns/2","linkedIns/3","linkedIns/4","linkedIns/5","linkedIns/6","linkedIns/7","linkedIns/8","linkedIns/9","linkedIns/10","linkedIns/11","linkedIns/12","linkedIns/13","linkedIns/14","linkedIns/15","linkedIns/16","linkedIns/17","linkedIns/18","linkedIns/19","linkedIns/20","linkedIns/21","linkedIns/22","youtubes/0","youtubes/1","youtubes/2","youtubes/3","youtubes/4","youtubes/5","youtubes/6","youtubes/7","youtubes/8","youtubes/9","youtubes/10","youtubes/11","youtubes/12","youtubes/13","youtubes/14","youtubes/15","youtubes/16","youtubes/17","youtubes/18","youtubes/19","youtubes/20","youtubes/21","youtubes/22","youtubes/23","youtubes/24","youtubes/25","youtubes/26","youtubes/27","youtubes/28","youtubes/29","youtubes/30","youtubes/31","youtubes/32","youtubes/33","youtubes/34","youtubes/35","youtubes/36","youtubes/37","youtubes/38","youtubes/39","youtubes/40","youtubes/41","youtubes/42","youtubes/43","youtubes/44","youtubes/45","youtubes/46","youtubes/47","youtubes/48","youtubes/49","tiktoks/0","twitters/0","twitters/1","twitters/2","twitters/3","twitters/4","phone","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","emails/6","emails/7","emails/8","emails/9","emails/10","emails/11","emails/12","emails/13","emails/14","emails/15","emails/16","emails/17","emails/18","emails/19","emails/20","emails/21","emails/22","emails/23","emails/24","emails/25","emails/26","city","website","url"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7lMXnl0QLXRX3ItyQj2olQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.95303&pitch=0&thumbfov=100","Sln Real Estate","4.7","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Sln%20Real%20Estate&query_place_id=ChIJaeLC5T8VrjsR-aL5wz1kiF4"
"https://lh3.googleusercontent.com/p/AF1QipMB-_wT9vrWihcu3gEsI8BEP2tcS5UnorRKm6eE=w408-h510-k-no","Real Estate Sales Barun Tiwary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+91 74831 39167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Real%20Estate%20Sales%20Barun%20Tiwary&query_place_id=ChIJuYtqaoQVrjsRYa3rqc_vOOU"
"https://lh3.googleusercontent.com/p/AF1QipPG0uk2f5x6JblQyVa3Z-oU1LA5zup5K9nFchVH=w408-h306-k-no","Universal Associates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Universal%20Associates&query_place_id=ChIJywZXHykVrjsRUslEg0eEr3E"
"https://lh3.googleusercontent.com/gps-cs-s/AHVAwepqHE_uzPKlCEVUXrgSUrZN5q2szV03W54quaDjIn1m5ORMujrTkG1g7QFKYu190zlwIIzB0m7mtSuZEipE4DQ6no9Z9o0oOKoAer71Y_6a5cspF2RyGYYWD1ue3QyBg0qb-qxlmQ=w408-h544-k-no","Nirvahanaa Nexuspro","4.5","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+91 81237 26151",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru","http://nirvahananexuspro.in/","https://www.google.com/maps/search/?api=1&query=Nirvahanaa%20Nexuspro&query_place_id=ChIJDTK4y_gVrjsRcfGYW_18oHE"
"https://lh3.googleusercontent.com/p/AF1QipOFmH5U9z6OwXdk3VZn1QKjpuhoKz-OFjZ6KFKt=w408-h272-k-no","DSR White Waters","4.3","539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=DSR%20White%20Waters&query_place_id=ChIJeTqZIswTrjsR6hYXymiY3mk"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wU8-evCg2LPy2bwh5qY2Hw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=72.881256&pitch=0&thumbfov=100","villas in Sarjapur","3.7","6","https://www.instagram.com/nbr.developers",,,,"https://www.facebook.com/nbrdevelopers",,,,,,"https://www.linkedin.com/company/nbr-group-bangalore","https://in.linkedin.com/company/nbr-group-bangalore",,,,,,,,,,,,,,,,,,,,,,"https://www.youtube.com/user/nbrbangalore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"twitter.com/nbrmeadows","https://x.com/nbrprojects",,,,,"frontdesk@nbrprojects.com","frontdesk@nbrgroup.in","crm@nbrgroup.in","hr@nbrgroup.in","sales@nbrgroup.in","digital@nbrgroup.in",,,,,,,,,,,,,,,,,,,,,,"Bengaluru","http://www.nbrdevelopers.com/villas-for-sale-sarjapur-road/","https://www.google.com/maps/search/?api=1&query=villas%20in%20Sarjapur&query_place_id=ChIJH4GBQ5oUrjsRKCKn79w54tA"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nC8u-7JPUUUs9e_wjryJ8w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.693344&pitch=0&thumbfov=100","Mobile service centre and real estate tours and travels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Mobile%20service%20centre%20and%20real%20estate%20tours%20and%20travels&query_place_id=ChIJVR00JeVrrjsRbFc7zA5dNBs"
,"Real estate business bangalore south",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Real%20estate%20business%20bangalore%20south&query_place_id=ChIJP5gR54Q_rjsRfkxKCaykxPk"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MGszI95Xp1ZOsmR-iOEHew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=25.92968&pitch=0&thumbfov=100","Propzen Private Limited",,,"https://www.instagram.com/nammabda",,,,"https://www.facebook.com/profile.php?id=61572318331021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://x.com/_nammabda",,,,,,"support@nammabda.com",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru","https://nammabda.com/","https://www.google.com/maps/search/?api=1&query=Propzen%20Private%20Limited&query_place_id=ChIJYfe-PUBtRa0RARok_qjSaGs"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ToQc7PGE6234hE6vqWeQRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.37558&pitch=0&thumbfov=100","Shree Sanvi Vadhu-Varanveshana Kendra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+91 99020 71297",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bengaluru",,"https://www.google.com/maps/search/?api=1&query=Shree%20Sanvi%20Vadhu-Varanveshana%20Kendra&query_place_id=ChIJt93JdsY_rjsRb8k6GcLrL8M"
